Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':4.5,'force_alpha':True,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':4.5,'force_alpha':False,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':4.0,'force_alpha':False,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':4.0,'force_alpha':True,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':3.5,'force_alpha':False,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.79,0.5,0.9,0.79,0.35,ComplementNB,"{'alpha':3.5,'force_alpha':True,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.78,0.49,0.9,0.79,0.35,ComplementNB,"{'alpha':0.5,'force_alpha':True,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.78,0.49,0.9,0.79,0.35,ComplementNB,"{'alpha':0.5,'force_alpha':False,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.78,0.49,0.9,0.79,0.35,ComplementNB,"{'alpha':1.0,'force_alpha':False,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
Single_Model,All_Features,Naïve Bayes,0.82,0.85,0.78,0.49,0.9,0.79,0.35,ComplementNB,"{'alpha':1.0,'force_alpha':True,'norm':False}",,,,0.01,0.81,0.78,0.83,0.54,0.88,0.83,0.41
